RequirementId;CaseId;DocumentId;PdfViewUrl;PdfOpenLinkSv;PdfOpenLinkEn;ProjectId;KravkallaTyp;Kravkategori;Kravsubkategori;KravtextCitat;TolkadKravtext;Kravniva;RattsligHanvisning;Tidsfrist;Kontrollfrekvens;SanktionEllerKonsekvens;UtlosandeVillkor;Avfallsslag;EWC;MaxMangdTon;MaxLagringstid;KopplingKonstruktion;KopplingLakvatten;KopplingKontrollprogram;KopplingRisk;Mallavsnitt;KommunBlankettFalt;BilagaSomStods;MinimikravJaNej;KommunspecifiktJaNej;StatusIAnmalan;Kommentar;Kodningssakerhet;Verifieringsstatus;VerifieradJaNej;VerifieradAv;VerifieradDatum;Feltyp;ValideringsKommentar
KRAV-AUTO-000011;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;SKA;;;Arlig;;Vid mellanlagring av avfall;;22 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000012;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;SKA;;;;;Vid mellanlagring av avfall;;22 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000013;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumwj004qcuqwa0802nd0/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Kemiska produkter som kan befaras medföra risker för människors hälsa eller miljön bör bytas ut mot produkter som antas vara mindre farliga.;Kemiska produkter som kan befaras medföra risker för människors hälsa eller miljön bör bytas ut mot produkter som antas vara mindre farliga.;SKA;;;Arlig;;Vid mellanlagring av avfall;;22 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000014;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;SKA;;;;Driftbegransning vid avvikelse;Vid nederbord och avrinning;;02 2024;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000015;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;• Om det använda avfallet behöver flyttas bort i framtiden ska det omhändertas på en godkänd avfallsanläggning eller användas för anläggningsändamål på annan plats efter anmälan till tillsynsmyndigheten.;• Om det använda avfallet behöver flyttas bort i framtiden ska det omhändertas på en godkänd avfallsanläggning eller användas för anläggningsändamål på annan plats efter anmälan till tillsynsmyndigheten.;SKA;;;;;Vid mellanlagring av avfall;;02 2024;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000016;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumx10055cuqwd8rfxvty/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Förutsättningarna för att avfallet ska få användas är att syftet är anläggningsändamål och föroreningsrisken är liten.;Förutsättningarna för att avfallet ska få användas är att syftet är anläggningsändamål och föroreningsrisken är liten.;SKA;;;;;Vid nederbord och avrinning;;02 2024;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000017;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;Riskhantering;Riskkontroll;7 § Verksamhetsutövaren skall förteckna de kemiska produkter samt biotekniska organismer som hanteras inom verksamheten och som kan innebära risker från hälso- eller miljösynpunkt.;7 § Verksamhetsutövaren skall förteckna de kemiska produkter samt biotekniska organismer som hanteras inom verksamheten och som kan innebära risker från hälso- eller miljösynpunkt.;SKA;;;;;Vid risk for incident;;88 63 89;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000018;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DriftEgenkontroll;Journalforing;Förordning (1998:901) om verksamhetsutövares egenkontroll 6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;Förordning (1998:901) om verksamhetsutövares egenkontroll 6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;SKA;;;Lopande;;Lopande drift;;88 63 89;;;Nej;Nej;Ja;Nej;7;Egenkontrollrutiner;Egenkontrollprogram;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000019;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyw0072cuqw88y4d47i/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;SKA;;;;;Vid nederbord och avrinning;;88 63 89;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000020;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;http://localhost:8787/api/admin/requirements/documents/cmm4yumyr006zcuqwfswammup/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyr006zcuqwfswammup/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyr006zcuqwfswammup/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Analyserna visade följande överskridande: Ämne Riktvärde Analysresultat TOC 12 mg/l 84,6 mg/l Oljeindex 1 000 μg/l 43 000 μg/l Koppar 20 μg/l 411 μg/ Nickel 20 μg/l 25,6 μg/ Bly 14 μg/l 26,1 μg/l Zink 60 μg/l 1 410 μg/l Miljö- och hälsoskyddsförvaltningen bedömer det som rimligt att ställa krav på att utgående vatten från verksamhetens oljeavskiljare ska klara de riktvärden som anges i Dagvattenanvisningar för Falkenbergs och Varbergs kommuner.;Analyserna visade följande överskridande: Ämne Riktvärde Analysresultat TOC 12 mg/l 84,6 mg/l Oljeindex 1 000 μg/l 43 000 μg/l Koppar 20 μg/l 411 μg/ Nickel 20 μg/l 25,6 μg/ Bly 14 μg/l 26,1 μg/l Zink 60 μg/l 1 410 μg/l Miljö- och hälsoskyddsförvaltningen bedömer det som rimligt att ställa krav på att utgående vatten f;SKA;;;;;Vid nederbord och avrinning;;88 63 89;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
