CitationId;RequirementId;CaseId;DocumentId;QuoteText;PageNumber;CharStart;CharEnd;Extractor;VerifieradJaNej;VerifieradAv;VerifieradDatum;Kommentar
CIT-AUTO-000011;KRAV-AUTO-000011;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000012;KRAV-AUTO-000012;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000013;KRAV-AUTO-000013;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;Kemiska produkter som kan befaras medföra risker för människors hälsa eller miljön bör bytas ut mot produkter som antas vara mindre farliga.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000014;KRAV-AUTO-000014;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000015;KRAV-AUTO-000015;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;• Om det använda avfallet behöver flyttas bort i framtiden ska det omhändertas på en godkänd avfallsanläggning eller användas för anläggningsändamål på annan plats efter anmälan till tillsynsmyndigheten.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000016;KRAV-AUTO-000016;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;Förutsättningarna för att avfallet ska få användas är att syftet är anläggningsändamål och föroreningsrisken är liten.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000017;KRAV-AUTO-000017;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;7 § Verksamhetsutövaren skall förteckna de kemiska produkter samt biotekniska organismer som hanteras inom verksamheten och som kan innebära risker från hälso- eller miljösynpunkt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000018;KRAV-AUTO-000018;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;Förordning (1998:901) om verksamhetsutövares egenkontroll 6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000019;KRAV-AUTO-000019;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000020;KRAV-AUTO-000020;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;Analyserna visade följande överskridande: Ämne Riktvärde Analysresultat TOC 12 mg/l 84,6 mg/l Oljeindex 1 000 μg/l 43 000 μg/l Koppar 20 μg/l 411 μg/ Nickel 20 μg/l 25,6 μg/ Bly 14 μg/l 26,1 μg/l Zink 60 μg/l 1 410 μg/l Miljö- och hälsoskyddsförvaltningen bedömer det som rimligt att ställa krav på att utgående vatten från verksamhetens oljeavskiljare ska klara de riktvärden som anges i Dagvattenanvisningar för Falkenbergs och Varbergs kommuner.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000021;KRAV-AUTO-000021;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000022;KRAV-AUTO-000022;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;I din bedömning ska det framgå hur du tagit hänsyn till ursprung på materialet och risk för förorening kopplat till dess ursprung.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000023;KRAV-AUTO-000023;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy7006ecuqwnx9sxuen;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2024-06150267 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2024-06-15 05:39 6 2024-06-14 11:00 Roger Huononen Provet ankom: Lakvatten Matris: 2024-06-15 Utskriftsdatum: 2024-07-02 Provmärkning: Deponi 1:301 Analys Resultat Enhet Metod/ref Mäto.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000024;KRAV-AUTO-000024;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy7006ecuqwnx9sxuen;"För att se hur, ta del av vår integritetspolicy på https://www.eurofins.se/om-oss/integritetspolicy/ -- 2 of 3 -- AR-24-SL-135165-01 Í%SQbÂ""f$8BÎ EUSELI2-01304133 Utförande laboratorium/underleverantör: a) Eurofins Environment Testing Sweden AB, SWEDEN, ISO/IEC 17025:2017 SWEDAC 1125 b) Eurofins Water Testing Sweden, SWEDEN, ISO/IEC 17025:2017 SWEDAC 10300 c) Uppgift från provtagare Denna rapport är elektroniskt signerad.";;;;heuristics-v1;Nej;;;
CIT-AUTO-000025;KRAV-AUTO-000025;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;Avgiften skall täcka den administration som krävs för systemet och som Avfall Sverige (systemägaren) ansvarar för.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000026;KRAV-AUTO-000026;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;Råd och anvisningar för användning av kompost, skall ange vilken mängd kompost som bör eller i före- kommande fall får spridas vid olika tillämpningar.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000027;KRAV-AUTO-000027;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;Lägsta tillåtna provtagnings- och analysfrekvens Egenkontroll (prov/år) Mottagen totalmängd till biologisk behandling (ton/år) Kvalifikationsår Lägsta frekvens vid fortlöpande kontroll Allt utom bakteriologiska prov Bakteriologiska prov Allt utom b akteriologiska prov Bakteriologiska prov 1) upp till 5 000 2 4 1 4 från 5 000 4 4 2 4 från 10 000 8 4 4 4 1) Den bakteriologiska provtagningen vid den fortlöpande kontrollen skall vid två tillfällen bestå av en provtagning där n=5 [3].;;;;heuristics-v1;Nej;;;
CIT-AUTO-000028;KRAV-AUTO-000028;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx40058cuqwxcca97de;Från dammen rinner en del dagvatten in i skogsområdet och en del pumpar kommunen bort österut till recipient.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000029;KRAV-AUTO-000029;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx40058cuqwxcca97de;För att minska risk för brand och minska konsekvenserna om en brand ändå uppkommer iakttas en rad skyddsåtgärder.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000030;KRAV-AUTO-000030;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx40058cuqwxcca97de;Avfallet kommer endast att utgöras av icke farligt avfall och genom att så snart som möjligt och minst varje dag omlasta avfallet till flak så minskar risken för påverkan på dagvattnet.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000031;KRAV-AUTO-000031;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyo006wcuqw982eyyr8;Mängden icke-farligt avfall som yrkesmässigt återvinns genom mekanisk bearbetning i verksamheten och som ska användas för byggnads- och anläggningsändamål får vara högst 20 000 ton per år.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000032;KRAV-AUTO-000032;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyo006wcuqw982eyyr8;Mängden icke-farligt avfall som yrkesmässigt återvinns genom mekanisk bearbetning i verksamheten och som inte ska användas för byggnads- och anläggningsändamål får vara högst 10 000 ton per år.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000033;KRAV-AUTO-000033;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyo006wcuqw982eyyr8;Enligt 27a § förordning om miljöfarlig verksamhet och hälsoskydd ska ett föreläggande om försiktighetsmått till en verksamhet som behandlar avfall innehålla uppgifter om bland annat vilka typer, mänger och metoder för behandling av avfallet som får förekomma.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000034;KRAV-AUTO-000034;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyl006tcuqwb0tvwtrm;Avfallet ska vara borttaget senast fyra månader efter att det här beslutet vunnit laga kraft.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000035;KRAV-AUTO-000035;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyl006tcuqwb0tvwtrm;Senast tre veckor efter att allt avfall på fastigheten Hanarp 1:4 har tagits bort ska en skriftlig redovisning lämnas in till miljö- och hälsoskyddsförvaltningen.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000036;KRAV-AUTO-000036;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyl006tcuqwb0tvwtrm;En upplagsplats för avfall som lagras i mer än tre år innan det återvinns eller i mer än ett år innan det bortskaffas är att betrakta som en deponi enligt 15 kap 5 a § i miljöbalken (1998:808).;;;;heuristics-v1;Nej;;;
CIT-AUTO-000037;KRAV-AUTO-000037;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx8005bcuqwwdi2vz6z;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000038;KRAV-AUTO-000038;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx8005bcuqwwdi2vz6z;Ordning och struktur skall råda i mellanlagringen av avfallet i den mån det är möjligt och rimligt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000039;KRAV-AUTO-000039;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx8005bcuqwwdi2vz6z;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000040;KRAV-AUTO-000040;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxd005hcuqwxsc6y5nv;Västerviks kommun, Miljö- och byggnadskontoret, 593 80 Västervik, Besöksadress Lunnargatan 1 Växel 010-355 40 00, E-post: mbn@vastervik.se Webbplats: www.vastervik.se DELEGATIONSBESLUT Diarienummer 2024-06-11 2024-786 Beslutsnummer MILJÖ- OCH BYGGNADSKONTORET 2024-436 Handelshuset I Åtvidaberg AB Aga Rydströms Väg 3 59392 Västervik Lofta-Gröndalen 1:1 – Förbud att anmäld miljöfarlig verksamhet inte får påbörjas förrän miljö- och byggnadsnämnden fattat beslut i ärendet Beslut Miljö- och byggnadsnämnden beslutar att den anmälda miljöfarliga verksamheten, i form av anmälan om avfall för anläggningsändamål, på fastigheten Lofta-Gröndalen 1:1 tills vidare inte får påbörjas.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000041;KRAV-AUTO-000041;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;Förvaring ska ske utan tillgång för obehöriga, utan risk för påkörning och skyddat från nederbörd.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000042;KRAV-AUTO-000042;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;Dagvatten från verksamheten ska hanteras på ett sådant sätt att det inte uppstår föroreningar, på omgivningen.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000043;KRAV-AUTO-000043;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000044;KRAV-AUTO-000044;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyh006ncuqwgc3rsm71;Avfallet ska vara borttaget senast två månader efter att det här beslutet vunnit laga kraft.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000045;KRAV-AUTO-000045;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyh006ncuqwgc3rsm71;Hanarp 1:4 Postadress Falkenbergs kommun Miljö- och hälsoskyddsnämnden 311 80 Falkenberg Besöksadress Stadshuset, Kuben Rådhustorget 3C Telefon 0346-88 60 00 E-post miljo.halsa@falkenberg.se Hemsida kommun.falkenberg.se En upplagsplats för avfall som lagras i mer än tre år innan det återvinns eller i mer än ett år innan det bortskaffas är att betrakta som en deponi enligt 15 kap 5 a § i miljöbalken.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000046;KRAV-AUTO-000046;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyh006ncuqwgc3rsm71;Se till att allt avfall (se bilaga 2), i form av sten, betong, asfalt och grenar, som finns på gårdsplanen på fastigheten Hanarp 1:4 tas bort.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000047;KRAV-AUTO-000047;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy5006bcuqwtam8nvjw;Deponin skall enligt delegationsbeslut 14/2011 (Salems kommun 2011-09-07) ha en provtagningsplan för kontroll av lakvatten.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000048;KRAV-AUTO-000048;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy5006bcuqwtam8nvjw;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2023-04140428 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2023-04-14 06:04 8 2023-04-13 11:30 Roger Huononen Provet ankom: Lakvatten Matris: 2023-04-14 Utskriftsdatum: 2023-04-25 Provmärkning: Deponi 1:301 Analys Resultat Enhet Metod/ref Mäto.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000049;KRAV-AUTO-000049;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy5006bcuqwtam8nvjw;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2023-10131151 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2023-10-13 11:00 7 2023-10-12 10:10 Roger Huononen Provet ankom: Lakvatten Matris: 2023-10-13 Utskriftsdatum: 2023-10-24 Provmärkning: Deponi 1:301 Analys Resultat Enhet Metod/ref Mäto.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000050;KRAV-AUTO-000050;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw9004hcuqw61waiecf;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000051;KRAV-AUTO-000051;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw9004hcuqw61waiecf;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;;;;heuristics-v1;Nej;;;
CIT-AUTO-000052;KRAV-AUTO-000052;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw9004hcuqw61waiecf;• Uppkomst av avfall ska i första hand förebyggas.;;;;heuristics-v1;Nej;;;
