RequirementId;CaseId;DocumentId;ProjectId;KravkallaTyp;Kravkategori;Kravsubkategori;KravtextCitat;TolkadKravtext;Kravniva;RattsligHanvisning;Tidsfrist;Kontrollfrekvens;SanktionEllerKonsekvens;UtlosandeVillkor;Avfallsslag;EWC;MaxMangdTon;MaxLagringstid;KopplingKonstruktion;KopplingLakvatten;KopplingKontrollprogram;KopplingRisk;Mallavsnitt;KommunBlankettFalt;BilagaSomStods;MinimikravJaNej;KommunspecifiktJaNej;StatusIAnmalan;Kommentar;Kodningssakerhet;Verifieringsstatus;VerifieradJaNej;VerifieradAv;VerifieradDatum;Feltyp;ValideringsKommentar
KRAV-AUTO-000011;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;SKA;;;Arlig;;Vid mellanlagring av avfall;;22 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000012;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;SKA;;;;;Vid mellanlagring av avfall;;22 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000013;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumwj004qcuqwa0802nd0;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Kemiska produkter som kan befaras medföra risker för människors hälsa eller miljön bör bytas ut mot produkter som antas vara mindre farliga.;Kemiska produkter som kan befaras medföra risker för människors hälsa eller miljön bör bytas ut mot produkter som antas vara mindre farliga.;SKA;;;Arlig;;Vid mellanlagring av avfall;;22 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000014;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;SKA;;;;Driftbegransning vid avvikelse;Vid nederbord och avrinning;;02 2024;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000015;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;• Om det använda avfallet behöver flyttas bort i framtiden ska det omhändertas på en godkänd avfallsanläggning eller användas för anläggningsändamål på annan plats efter anmälan till tillsynsmyndigheten.;• Om det använda avfallet behöver flyttas bort i framtiden ska det omhändertas på en godkänd avfallsanläggning eller användas för anläggningsändamål på annan plats efter anmälan till tillsynsmyndigheten.;SKA;;;;;Vid mellanlagring av avfall;;02 2024;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000016;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx10055cuqwd8rfxvty;cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Förutsättningarna för att avfallet ska få användas är att syftet är anläggningsändamål och föroreningsrisken är liten.;Förutsättningarna för att avfallet ska få användas är att syftet är anläggningsändamål och föroreningsrisken är liten.;SKA;;;;;Vid nederbord och avrinning;;02 2024;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000017;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;Riskhantering;Riskkontroll;7 § Verksamhetsutövaren skall förteckna de kemiska produkter samt biotekniska organismer som hanteras inom verksamheten och som kan innebära risker från hälso- eller miljösynpunkt.;7 § Verksamhetsutövaren skall förteckna de kemiska produkter samt biotekniska organismer som hanteras inom verksamheten och som kan innebära risker från hälso- eller miljösynpunkt.;SKA;;;;;Vid risk for incident;;88 63 89;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000018;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DriftEgenkontroll;Journalforing;Förordning (1998:901) om verksamhetsutövares egenkontroll 6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;Förordning (1998:901) om verksamhetsutövares egenkontroll 6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;SKA;;;Lopande;;Lopande drift;;88 63 89;;;Nej;Nej;Ja;Nej;7;Egenkontrollrutiner;Egenkontrollprogram;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000019;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyw0072cuqw88y4d47i;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;SKA;;;;;Vid nederbord och avrinning;;88 63 89;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000020;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Analyserna visade följande överskridande: Ämne Riktvärde Analysresultat TOC 12 mg/l 84,6 mg/l Oljeindex 1 000 μg/l 43 000 μg/l Koppar 20 μg/l 411 μg/ Nickel 20 μg/l 25,6 μg/ Bly 14 μg/l 26,1 μg/l Zink 60 μg/l 1 410 μg/l Miljö- och hälsoskyddsförvaltningen bedömer det som rimligt att ställa krav på att utgående vatten från verksamhetens oljeavskiljare ska klara de riktvärden som anges i Dagvattenanvisningar för Falkenbergs och Varbergs kommuner.;Analyserna visade följande överskridande: Ämne Riktvärde Analysresultat TOC 12 mg/l 84,6 mg/l Oljeindex 1 000 μg/l 43 000 μg/l Koppar 20 μg/l 411 μg/ Nickel 20 μg/l 25,6 μg/ Bly 14 μg/l 26,1 μg/l Zink 60 μg/l 1 410 μg/l Miljö- och hälsoskyddsförvaltningen bedömer det som rimligt att ställa krav på att utgående vatten f;SKA;;;;;Vid nederbord och avrinning;;88 63 89;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000021;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;M-2021-3120, ska det för samtliga avfallsmassor som tas in på anläggningen finnas dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;SKA;;;;;Vid nederbord och avrinning;;88 63 89;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000022;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyr006zcuqwfswammup;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;I din bedömning ska det framgå hur du tagit hänsyn till ursprung på materialet och risk för förorening kopplat till dess ursprung.;I din bedömning ska det framgå hur du tagit hänsyn till ursprung på materialet och risk för förorening kopplat till dess ursprung.;SKA;;;;;Vid nederbord och avrinning;;88 63 89;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000023;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy7006ecuqwnx9sxuen;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2024-06150267 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2024-06-15 05:39 6 2024-06-14 11:00 Roger Huononen Provet ankom: Lakvatten Matris: 2024-06-15 Utskriftsdatum: 2024-07-02 Provmärkning: Deponi 1:301 Analys Resultat Enhet Metod/ref Mäto.;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2024-06150267 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2024-06-15 05:39 6 2024-06-14 11:00 Roger Huononen Provet ankom: Lakvatten Matris: 2024-0;BOR;;2024-06-15;;;Vid nederbord och avrinning;;135165;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000024;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy7006ecuqwnx9sxuen;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DriftEgenkontroll;Journalforing;"För att se hur, ta del av vår integritetspolicy på https://www.eurofins.se/om-oss/integritetspolicy/ -- 2 of 3 -- AR-24-SL-135165-01 Í%SQbÂ""f$8BÎ EUSELI2-01304133 Utförande laboratorium/underleverantör: a) Eurofins Environment Testing Sweden AB, SWEDEN, ISO/IEC 17025:2017 SWEDAC 1125 b) Eurofins Water Testing Sweden, SWEDEN, ISO/IEC 17025:2017 SWEDAC 10300 c) Uppgift från provtagare Denna rapport är elektroniskt signerad.";"För att se hur, ta del av vår integritetspolicy på https://www.eurofins.se/om-oss/integritetspolicy/ -- 2 of 3 -- AR-24-SL-135165-01 Í%SQbÂ""f$8BÎ EUSELI2-01304133 Utförande laboratorium/underleverantör: a) Eurofins Environment Testing Sweden AB, SWEDEN, ISO/IEC 17025:2017 SWEDAC 1125 b) Eurofins Water Testing Sweden, S";BOR;;;;;Lopande drift;;135165;;;Nej;Nej;Ja;Nej;7;Egenkontrollrutiner;Egenkontrollprogram;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000025;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Avgiften skall täcka den administration som krävs för systemet och som Avfall Sverige (systemägaren) ansvarar för.;Avgiften skall täcka den administration som krävs för systemet och som Avfall Sverige (systemägaren) ansvarar för.;SKA;;;;;Alltid;;;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000026;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;LagringsvolymTid;Maxmangd;Råd och anvisningar för användning av kompost, skall ange vilken mängd kompost som bör eller i före- kommande fall får spridas vid olika tillämpningar.;Råd och anvisningar för användning av kompost, skall ange vilken mängd kompost som bör eller i före- kommande fall får spridas vid olika tillämpningar.;SKA;;;;;Alltid;;;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000027;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DriftEgenkontroll;Journalforing;Lägsta tillåtna provtagnings- och analysfrekvens Egenkontroll (prov/år) Mottagen totalmängd till biologisk behandling (ton/år) Kvalifikationsår Lägsta frekvens vid fortlöpande kontroll Allt utom bakteriologiska prov Bakteriologiska prov Allt utom b akteriologiska prov Bakteriologiska prov 1) upp till 5 000 2 4 1 4 från 5 000 4 4 2 4 från 10 000 8 4 4 4 1) Den bakteriologiska provtagningen vid den fortlöpande kontrollen skall vid två tillfällen bestå av en provtagning där n=5 [3].;Lägsta tillåtna provtagnings- och analysfrekvens Egenkontroll (prov/år) Mottagen totalmängd till biologisk behandling (ton/år) Kvalifikationsår Lägsta frekvens vid fortlöpande kontroll Allt utom bakteriologiska prov Bakteriologiska prov Allt utom b akteriologiska prov Bakteriologiska prov 1) upp till 5 000 2 4 1 4 från;SKA;;;Lopande;;Lopande drift;;;;;Nej;Nej;Ja;Nej;7;Egenkontrollrutiner;Egenkontrollprogram;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
